Subject,Name,Training,Nivel,BLPS,MPDC,APCPS,PD,Entropy,TTP,PDS
s01,SequenceMemory_r01,False,1,3.65327859,-0.013211501,-0.003616341,0.405641523,1.8653245,4345801,7.28E-08
s01,SequenceMemory_r11,False,1,3.95034014,-0.263836055,-0.066788187,0.021281512,1.883574776,2133092,2.39E-07
s01,SequenceMemory_r12,False,3,3.404073497,0.033579554,0.009864521,0.340715536,1.783029784,11024043,-5.97E-10
s01,SequenceMemory_r17,False,6,4.022678065,-0.267366121,-0.066464707,0.109901766,1.91061905,2292544,2.63E-07
s01,SequenceMemory_r19,False,1,3.768430992,-0.24403357,-0.064757341,0.072631043,1.818842922,2033340,0
s01,SequenceMemory_r23,False,1,3.282649804,0.199494898,0.060772519,0.578302755,1.802915922,7136748,1.36E-07
s01,SequenceMemory_r04,False,6,3.489274486,0.162068462,0.046447611,0.498081378,1.869587302,8253223,7.28E-08
s01,SequenceMemory_r07,False,3,3.583897831,-0.041249063,-0.011509553,0.314436149,1.825839601,6319451,-1.91E-08
s01,SequenceMemory_r08,False,3,4.069048821,-0.169333794,-0.04161508,0.368980912,1.967611545,5242760,7.42E-08
s02,SequenceMemory_r11,False,6,4.104073668,0.06820685,0.016619304,0.421720794,2.061516147,6937339,7.12E-08
s02,SequenceMemory_r13,False,3,4.256348074,-0.247594458,-0.058170632,0.068442226,2.004503003,2113081,3.95E-07
s02,SequenceMemory_r14,False,1,4.113440212,-0.167155821,-0.040636502,0.093509634,1.980824151,2850669,1.02E-07
s02,SequenceMemory_r15,False,6,3.740173548,0.400064729,0.106964215,0.744742804,2.050784655,9030534,7.15E-08
s02,SequenceMemory_r17,False,6,3.86040697,0.255655328,0.066224968,0.531522813,2.042019392,6738094,1.06E-07
s02,SequenceMemory_r20,False,3,3.963445526,0.028011474,0.007067455,0.27392251,1.997654502,12937956,1.07E-08
s02,SequenceMemory_r21,False,3,3.919286041,0.09812243,0.025035792,0.296594245,2.007143545,5880811,4.39E-08
s02,SequenceMemory_r23,False,3,3.818081203,0.151970826,0.039802932,0.402791454,1.989778102,4086596,5.94E-08
s02,SequenceMemory_r24,False,1,3.889368673,-0.010078522,-0.0025913,0.198168261,1.956534016,3707833,2.33E-07
s02,SequenceMemory_r25,False,3,4.321842848,-0.212749279,-0.049226519,0.109636754,2.040440493,2990249,3.99E-07
s02,SequenceMemory_r29,False,6,4.083432399,0.009632246,0.00235886,0.450599496,2.033992294,8652161,5.32E-08
s02,SequenceMemory_r03,False,6,3.849056059,0.420558843,0.109262852,0.855237221,2.095300525,8013895,6.28E-08
s02,SequenceMemory_r30,False,6,4.35888561,-0.170336739,-0.039078048,0.121962357,2.067120819,7794586,1.45E-08
s02,SequenceMemory_r32,False,1,4.148478094,-0.091447471,-0.022043619,0.131305096,2.020922567,2890529,1.57E-07
s02,SequenceMemory_r04,False,3,3.980343681,0.131175849,0.03295591,0.532728837,2.0409763,6578496,6.93E-08
s02,SequenceMemory_r05,False,3,4.076063395,-0.004011003,-0.000984038,0.248640215,2.02660105,4385771,2.26E-07
s02,SequenceMemory_r07,False,6,3.908317859,0.368840651,0.094373248,0.774079731,2.097857679,8771477,8.49E-08
s02,SequenceMemory_r08,False,6,4.104151056,0.070013211,0.017059121,0.332619972,2.062216639,15330135,9.60E-09
s03,SequenceMemory_r11,False,6,4.033913979,0.213795734,0.052999577,0.523490168,2.087356452,10665261,2.38E-08
s03,SequenceMemory_r13,False,3,4.27459696,0.09098026,0.021283939,0.38345984,2.126853743,5900775,5.38E-08
s03,SequenceMemory_r14,False,1,4.039697664,0.051230131,0.012681674,0.283353432,2.032976422,4126598,1.56E-07
s03,SequenceMemory_r15,False,6,4.068374111,0.2700485,0.066377499,0.730535961,2.119061965,9429316,1.08E-07
s03,SequenceMemory_r17,False,6,4.266184079,0.088930911,0.02084554,0.398646012,2.123422814,8950796,5.86E-08
s03,SequenceMemory_r20,False,3,4.130476431,0.062610819,0.015158256,0.477052187,2.068667063,11303251,1.48E-08
